province;red;green;blue;x;x
221;225;15;26;Ceara;x
222;145;146;64;Roussillon;x
223;39;147;169;Ontario;x
224;17;144;0;Carcassonne;x
225;215;41;218;Grao Para;x
226;169;181;28;Kawartha;x
227;16;140;192;Béarn;x
228;18;128;15;North Carpathians;x
229;111;137;71;Massasauga;x
230;24;27;214;Rio Grande;x
231;145;142;255;Tarbes;x
232;146;157;28;Carpathians;x
233;194;199;135;Sea Of Ternete;x
234;15;62;215;Bahia;x
235;215;15;81;Alps;x
236;198;196;64;Alps;x
237;16;136;64;Albret;x
238;255;11;212;Alps;x
239;222;161;42;Itamaraca;x
240;144;138;128;Gascogne;x
241;255;166;11;Kartli;x
242;144;134;0;Labourd;x
243;161;215;151;Pernambuco;x
244;77;59;205;Alps;x
245;16;132;255;Navarra;x
246;97;175;220;Pyrenees;x
247;15;116;64;Zaragoza;x
248;144;130;192;Jaca;x
249;72;210;76;Carpathians;x
250;15;120;192;The Baleares;x
251;143;122;255;Girona;x
252;143;114;0;Calatayud;x
253;142;106;64;Almería;x
254;128;207;120;Niger River;x
255;142;110;192;Tete;x
256;12;124;48;Jicarilla;x
257;85;80;32;València;x
258;5;85;31;Niger River;x
259;105;61;31;Kiowa;x
260;164;226;80;Hochelega;x
261;180;147;126;Cree;x
262;54;45;154;Salvador;x
263;14;112;255;Teruel;x
264;225;218;81;Baffin;x
265;211;54;173;Bunyoro;x
266;143;118;128;Barcelona;x
267;15;124;0;Manresa;x
268;19;66;198;Alps;x
269;16;128;128;Huesca;x
270;71;132;126;Gobir;x
271;143;126;64;Andorra;x
272;13;196;26;Caucuses;x
273;198;122;79;Ife;x
274;29;116;180;Niagara;x
275;46;48;32;Nan;x
276;84;64;32;Kilwa;x
277;179;106;128;Prignitz;x
278;137;158;173;Omnogovi;x
279;54;156;126;Bintan;x
280;151;106;0;Cherbourg;x
281;85;72;32;Maravi;x
282;224;82;214;Nunavik;x
283;85;76;126;Igombe Ilede;x
284;23;108;64;Caen;x
285;84;68;126;Mozambique;x
286;213;70;173;Uticulo;x
287;72;97;56;The Channel;x
288;138;50;192;Asturias;x
289;149;157;38;Coast Of Holland;x
290;30;123;104;Land's End;x
291;10;56;64;Logrono;x
292;70;120;32;Benin;x
293;155;46;40;Dogger Bank;x
294;18;32;192;Montpellier;x
295;84;56;32;Lamu;x
296;18;40;128;Nice;x
297;109;134;13;Straits Of Dover;x
298;19;44;255;Gap;x
299;70;124;126;Borgu;x
300;147;42;192;Provence;x
301;200;179;26;Kalapuya;x
302;235;39;39;Salish;x
303;196;98;79;Garzagamu;x
304;43;183;74;Deschutes;x
305;9;40;192;Bragança;x
306;9;32;255;Coimbra;x
307;103;140;85;Nimiipu;x
308;137;34;0;Beira Baixa;x
309;212;66;79;Boina;x
310;36;156;126;Hangzhou;x
311;86;84;126;Lunduy;x
312;137;42;255;Braga;x
313;164;34;79;Wenzhou;x
314;164;158;173;Suzhou;x
315;10;44;0;Vigo;x
316;10;52;255;Cantabria;x
317;10;48;128;Lugo;x
318;214;90;79;Khemi;x
319;138;54;0;Vizcaya;x
320;138;46;64;A Coruna;x
321;137;38;128;Porto;x
322;240;203;74;Tuskegee;x
323;200;80;75;Abitbi;x
324;9;36;64;Beira Alta;x
325;139;62;255;León;x
326;139;58;128;Burgos;x
327;197;106;79;Rano;x
328;11;60;192;Palencia;x
329;77;133;56;Choctaw;x
330;140;190;113;Falklands;x
331;213;82;79;Quelimane;x
332;139;66;64;Salamanca;x
333;11;64;0;Zamora;x
334;69;104;32;Daura;x
335;139;70;192;Soria;x
336;140;74;0;Madrid;x
337;12;72;255;Cuenca;x
338;12;76;64;Caceres;x
339;11;68;128;Castilla La Vieja;x
340;245;56;56;Bass Strait;x
341;8;144;64;The Azores;x
342;31;122;118;Kangaroo Island;x
343;130;60;50;New Caledonia;x
344;68;100;126;Zinder;x
345;232;106;70;Cape Howe;x
346;136;146;128;Madeira;x
347;69;108;126;Kano;x
348;137;158;192;Lisboa;x
349;8;148;192;The Canarias;x
350;8;156;128;Ribatejo;x
351;136;154;64;Alto Alentejo;x
352;8;152;0;Baixo Alentejo;x
353;197;110;173;Bauchi;x
354;136;150;255;Algarve;x
355;135;100;125;Nipigon;x
356;7;136;128;Sligo;x
357;135;134;64;Galway;x
358;7;132;0;Limerick;x
359;197;102;173;Biram;x
360;135;130;255;Cork;x
361;145;238;152;Olancho;x
362;211;46;173;Toro;x
363;79;14;114;Lenca;x
364;6;128;192;Wexford;x
365;84;104;23;Nicaragua;x
366;78;130;68;Cihuatlan;x
367;134;118;192;Deheubarth;x
368;62;46;152;Tlapanec;x
369;80;140;126;Ndongo;x
370;134;126;128;Offaly;x
371;152;191;231;Honduras;x
372;6;124;64;Meath;x
373;242;230;140;Chortli;x
374;135;138;192;Donegal;x
375;210;230;72;Capricorn Bay;x
376;135;142;0;Ulster;x
377;213;78;173;Monga;x
378;7;140;255;Derry;x
379;6;120;255;Powys;x
380;83;44;126;Kigali;x
381;134;122;0;Gwynedd;x
382;199;134;173;Zamfara;x
383;129;58;192;Perthshire;x
384;119;125;38;Shawnee;x
385;130;62;0;Lothian;x
386;101;0;236;Huancavelica;x
387;37;126;75;Chickasaw;x
388;2;60;255;Glasgow;x
389;100;0;232;Cuzco;x
390;1;56;128;Aberdeen;x
391;98;0;244;Nazca;x
392;0;44;64;The Shetlands;x
393;3;84;64;Lincoln;x
394;99;0;248;Huamanga;x
395;128;38;192;Reykjavik;x
396;143;147;17;Bayougoula;x
397;131;82;0;Derby;x
398;0;36;128;Eystribyggd;x
399;129;46;128;Orkney;x
400;2;64;64;Mairches;x
401;58;62;105;Mobile;x
402;102;240;0;Lima;x
403;128;34;64;Vestribyggd;x
404;75;100;64;Tallapoosa;x
405;0;40;255;Akureyri;x
406;128;42;0;Føroyar;x
407;186;183;44;Sulu Sea;x
408;129;50;255;Western Isles;x
409;1;48;192;Wick;x
410;1;52;0;Inverness;x
411;122;102;41;Pensacola;x
412;2;68;192;Isle Of Man;x
413;129;54;64;Argyll;x
414;71;135;29;Seminole;x
415;37;96;126;Apalachee;x
416;237;154;79;Whangarei;x
417;130;66;128;Ayrshire;x
418;190;181;69;Maguindanao Coast;x
419;3;80;255;Chester;x
420;131;78;192;Lancaster;x
421;88;175;84;Sea Of Banda;x
422;3;76;128;York;x
423;2;72;0;Northumberland;x
424;131;74;64;Durham;x
425;173;150;0;Württemberg;x
426;143;20;23;Muskogee;x
427;130;70;255;Cumberland;x
428;105;163;173;Sequatchie;x
429;205;226;52;Etowah;x
430;4;96;128;Norfolk;x
431;54;109;92;Alabama;x
432;4;92;0;Oxford;x
433;4;88;192;Hereford;x
434;131;86;128;Leicester;x
435;48;50;116;Coweta;x
436;132;90;255;Gloucester;x
437;132;94;64;Bedford;x
438;37;126;116;Oconee;x
439;209;142;173;Benguela;x
440;5;104;64;Kent;x
441;207;126;173;Tigres;x
442;133;106;128;Sussex;x
443;133;102;0;Salisbury;x
444;133;110;255;Somerset;x
445;217;21;61;Stadacona;x
446;52;0;240;Micronesia;x
447;5;108;192;Hampshire;x
448;167;66;192;Görz;x
449;45;193;149;Atikamekw;x
450;38;64;128;Aquileia;x
451;189;202;36;Innu;x
452;166;62;64;Friuli;x
453;55;0;0;Palau;x
454;38;60;0;Treviso;x
455;65;0;250;Guam;x
456;5;112;0;Devon;x
457;133;114;64;Cornwall;x
458;6;116;128;Glamorgan;x
459;145;87;53;Yopitzinco;x
460;83;48;32;Buganda;x
461;166;58;255;Venezia;x
462;167;74;128;Neuchâtel;x
463;75;0;25;Wake;x 
464;36;32;64;Saluzzo;x
465;164;34;128;Piedmont;x
466;142;64;11;Tohancapan;x
467;37;40;0;Montferrat;x
468;165;38;255;Asti;x
469;230;201;85;Tziccoac;x
470;37;44;128;Pavia;x
471;36;36;192;Val d'Aosta;x
472;85;0;225;Marshall Islands;x
473;164;158;0;Cuneo;x
474;105;98;48;Cuetlaxtlan;x
475;141;22;22;Melville Bay;x
476;36;156;255;Albenga;x
477;179;125;53;Tepeacac;x
478;114;84;39;Cholula;x
479;37;48;255;Como;x
480;58;95;60;Tlaxcala;x
481;165;46;192;Lombardia;x
482;62;145;193;Cuitzeo;x
483;74;62;193;Patzcuaro;x
484;198;126;173;Nupe;x
485;198;182;94;Cutzamala;x
486;166;54;128;Trent;x
487;100;171;191;Tullucan;x
488;38;52;64;Brescia;x
489;165;50;0;Cremona;x
490;70;128;32;Zazzau;x
491;22;84;255;Orleanais;x
492;128;190;65;Apatzingan;x
493;23;100;128;Brest;x
494;123;240;143;Shetland Straits;x
495;142;174;221;Canterbury Bight;x
496;38;56;192;Vicenza;x
497;175;165;25;Diamentina;x
498;68;96;32;Njimi;x
499;167;132;232;Palau Islands;x
500;176;196;177;Acadia;x
501;19;182;64;Goias;x
502;73;32;128;Hunyad;x
503;14;111;221;Minas Gerais;x
504;171;114;211;Sao Tome;x
505;73;36;255;Arad;x
506;22;96;0;Vannetais;x
507;151;98;64;Quimper;x
508;203;37;33;Cheyenne;x
509;22;92;192;Alencon;x
510;237;222;135;Taqamkuk;x
511;68;0;244;Hawaii;x
512;215;133;21;Arikara;x
513;41;71;171;Espirito Santo;x
514;22;88;64;Anjou;x
515;150;90;128;Maine;x
516;70;0;232;Tierra Del Fuego;x
517;176;65;28;Apsáalooke;x
518;150;86;0;Touraine;x
519;71;0;236;Patagonia Occidental;x
520;185;219;68;Haakon;x
521;149;82;192;Berry;x
522;85;100;175;Ottawa;x
523;171;179;26;Bannock;x
524;137;120;22;Colima;x
525;213;151;152;Tasman Sea;x
526;32;123;172;Niitsitapi;x
527;74;21;138;Tarasco;x
528;212;58;79;Malindi;x
529;31;105;40;Kansas;x
530;146;34;255;Valence;x
531;18;36;0;Marseille;x
532;206;110;173;Pepper Coast;x
533;146;38;64;Toulon;x
534;61;247;40;Teton;x
535;19;48;64;Dauphiné;x
536;47;106;8;Ahqaf;x
537;147;50;128;Savoie;x
538;86;80;207;Fall River;x
539;147;54;255;Bresse;x
540;207;114;79;Elmina;x
541;79;120;32;Gabon;x
542;20;56;0;Lyonnais;x
543;233;54;54;Yankton;x
544;21;80;128;Nivernais;x
545;198;118;173;Gwari;x
546;148;58;64;Forez;x
547;117;0;240;Rio De La Plata;x
548;118;110;244;Banda Oriental;x
549;222;42;144;Parana;x
550;78;112;32;Ivory Coast;x
551;19;52;192;Annecy;x
552;14;155;76;Uruguay;x
553;70;116;126;Igbo-Ukwu;x
554;124;51;211;Guayra;x
555;197;114;79;Calabar;x
556;151;171;51;Itenines;x
557;21;76;0;Franche-Comté;x
558;150;94;255;Nantes;x
559;247;49;54;Arapaho;x
560;173;193;170;Matane;x
561;211;251;14;Mato Grosso;x
562;69;112;32;Kwarafara;x
563;188;80;33;Mandan;x
564;71;121;161;Mbaracayu;x
565;116;129;86;Omaha;x
566;70;99;63;Otoe;x
567;82;36;126;Bemba;x
568;151;16;111;Patos;x
569;148;62;192;Limousin;x
570;222;151;11;Tape;x
571;20;64;255;Poitou;x
572;20;60;128;Auvergne;x
573;162;215;122;Santo Amaro;x
574;25;151;255;Rio De Janeiro;x
575;199;130;79;Katsina;x
576;148;66;0;La Rochelle;x
577;151;102;192;Tregor;x
578;23;104;255;Armor;x
579;20;68;64;Bourbon;x
580;202;188;19;Lakota;x
581;149;70;128;Riom;x
582;14;125;215;Sao Vicente;x
583;21;72;192;Montpensier;x
584;89;189;141;Santana;x
585;40;33;182;Loup;x
586;72;144;255;Dambovita;x
587;149;74;255;Charolais;x
588;149;78;64;Bourgogne;x
589;32;189;39;Minnesota;x
590;11;61;51;Santarem;x
591;141;152;69;Chippewa;x
592;39;182;129;Dakota;x
593;45;156;192;Sundgau;x
594;95;14;30;Jamaica;x
595;58;85;23;Les Cayes;x
596;45;32;0;Ansbach;x
597;46;141;132;Comanche;x
598;173;158;255;Elsass;x
599;71;121;41;Tucujulandia;x
600;40;53;68;Tortuga;x
601;174;158;14;Demerara;x
602;173;154;128;Breisgau;x
603;69;174;237;Guayana;x
604;46;36;128;Bayreuth;x
605;56;131;46;Santo Domingo;x
606;45;85;216;Mariua;x
607;156;12;71;Manaus;x
608;209;154;79;Lunda;x
609;39;214;76;Essequibo;x
610;66;84;24;Barahonas;x
611;45;152;64;Baden;x
612;214;15;71;Oriximina;x
613;174;42;0;Würzburg;x
614;46;44;64;Heidelberg;x
615;174;38;192;Vogtland;x
616;132;145;43;Mescalero;x
617;60;102;128;Lipan;x
618;173;34;64;Nürnberg;x
619;145;57;25;Roraima;x
620;46;40;255;Bamberg;x
621;228;71;67;Puerto Rico;x
622;117;199;97;St. Thomas;x
623;158;123;18;Puerto Plata;x
624;46;48;192;Mainz;x
625;92;79;153;Suriname;x
626;209;150;173;Ruund;x
627;181;141;71;Cayenne;x
628;174;46;128;Pfalz;x
629;41;151;36;Karankawa;x
630;47;56;128;Hessen;x
631;175;50;255;Aschaffenburg;x
632;220;176;75;Curacao;x
633;54;156;87;North Indian Ocean;x
634;15;76;245;Venezuelan Sea;x
635;152;62;34;Angostura;x
636;157;78;30;Waco;x
637;175;54;64;Frankfurt;x
638;47;52;0;Fulda;x
639;60;108;128;Hedmark;x
640;168;90;0;Zürich;x
641;219;47;47;Panama;x
642;169;94;128;Vorarlberg;x
643;40;92;64;St Gallen;x
644;215;110;173;Caracara;x
645;85;84;34;Xicallanco;x
646;73;46;57;Tehuantepec;x
647;40;88;255;Waldstätte;x
648;169;102;64;Salzburg;x
649;200;196;34;Hudson Straits;x
650;168;86;192;Chur;x
651;40;84;128;Ticino;x
652;28;91;91;Chiapas;x
653;120;0;100;Tonga;x
654;41;100;0;Kufstein;x
655;42;116;192;Wien;x
656;125;0;150;Samoa;x
657;69;82;95;Coyolapan;x
658;169;98;255;Südtirol;x
659;40;80;0;Bern;x
660;115;0;175;Fiji;x
661;168;82;64;Wallis;x
662;92;133;73;Metztitlan;x
663;165;42;64;Novara;x
664;95;0;50;Nauru;x
665;131;101;33;Coixtlahuacan;x
666;37;146;169;Huastec;x
667;167;78;255;Aargau;x
668;110;0;75;Tuvalu;x
669;38;47;125;Tochtepec;x
670;105;0;200;Gilbert Islands;x
671;39;76;192;Basel;x
672;129;126;35;Mixe;x
673;239;227;146;Beothuk;x
674;39;72;64;Vaud;x
675;116;102;48;Zapotec;x
676;41;104;128;Lienz;x
677;36;46;128;Mixtec;x
678;167;70;0;Geneva;x
679;77;0;240;Serranos;x
680;39;68;255;Trieste;x
681;65;175;73;Petén;x
682;172;142;64;Ulm;x
683;65;84;175;Champutun;x
684;4;100;255;Middlesex;x
685;132;98;192;Essex;x
686;44;140;0;Hohenlohe;x
687;185;197;46;Atikaki;x
688;68;88;32;Baguirmi;x
689;75;89;218;Ktunaxa;x
690;169;106;192;Villach;x
691;170;114;128;Bruck;x
692;208;199;77;Tsimshian;x
693;112;169;173;Guamares;x
694;125;209;75;Huichol;x
695;207;35;134;Winnipeg;x
696;42;112;64;Steiermark;x
697;209;33;33;Ojibwa;x
698;76;0;236;Salinas Grande;x
699;235;86;168;Guatemala;x
700;148;43;12;Nehiyawewin;x
701;78;0;244;Pampas;x
702;172;138;255;Augsburg;x
703;71;136;32;Sokoto;x
704;199;138;79;Kebbi;x
705;120;48;115;Campeche;x
706;182;225;6;Pehuenmapu;x
707;44;144;128;Ravensburg;x
708;37;70;146;Uaymil;x
709;135;122;48;Belize;x
710;72;131;52;Xocnochco;x
711;42;108;255;Kärnten;x
712;168;170;72;Manitoba;x
713;106;77;106;Ecab;x
714;61;182;182;Asinaan;x
715;170;110;0;Graz;x
716;129;91;54;Yucatan;x
717;42;120;0;Linz;x
718;131;52;52;Ah Canul;x
719;32;100;151;Mani;x
720;171;122;64;Straubing;x
721;71;140;126;Dendi;x
722;171;134;128;Wasserburg;x
723;163;63;20;Columbia;x
724;68;92;126;Mandara;x
725;43;132;64;Landshut;x
726;156;153;27;Nootka;x
727;73;0;244;Tehuelmapu;x
728;44;136;192;München;x
729;44;148;255;Sigmaringen;x
730;196;90;79;Koussen;x
731;22;164;19;Kwakiutl;x
732;74;0;248;Huillimapu;x
733;163;146;79;Jinhua;x
734;163;138;79;Hunan;x
735;196;94;173;Adamawai;x
736;185;203;58;Tsuutina;x
737;72;0;240;Patagonia Oriental;x
738;172;146;192;Fürstenberg;x
739;117;79;60;Teloloapan;x
740;35;144;32;Poyang;x
741;66;176;111;Saskatchewan;x
742;163;142;173;Nanchang;x
743;56;69;120;Mexico;x
744;195;86;0;Krajna;x
745;24;171;28;Ungava;x
746;88;116;126;Copiapo;x
747;195;82;192;Gniezno;x
748;43;128;255;Ingolstadt;x
749;88;112;32;Xeres;x
750;43;124;128;Cham;x
751;170;118;255;Ostmark;x
752;96;81;94;Northeastern Atlantic;x
753;194;70;128;Lublin;x
754;171;126;192;Oberpfalz;x
755;67;84;255;Kujawy;x
756;195;74;255;Przemysl;x
757;234;205;89;Gulf Of Odessa;x
758;66;68;64;Rawa;x
759;175;243;181;Rockall;x
760;41;96;192;Innsbruck;x
761;66;72;192;Sandomierz;x
762;179;131;19;Eastern Coast Of Greenland;x
763;128;219;104;Sea Of Azov;x
764;66;64;255;Plock;x
765;0;64;128;Mosquito;x
766;188;114;0;Finnmárku;x
767;173;163;29;Uluas;x
768;88;39;65;Managua;x
769;122;37;33;Pipil;x
770;131;167;252;Nicoya;x
771;131;94;61;Chorotega;x
772;194;62;192;Wizna;x
773;230;204;26;Veraguas;x
774;171;130;0;Regensburg;x
775;216;114;79;Chiquitos;x
776;79;0;248;Chaco Austral;x
777;162;134;173;Songqu;x
778;80;0;232;Cuyo;x
779;81;0;236;Picunmapu;x
780;72;155;183;Wea;x
781;182;191;64;Pennyrile;x
782;72;144;32;Ketou;x
783;208;123;47;West Michigan;x
784;35;140;126;Changsha;x
785;156;164;68;Kodiak Island;x
786;34;124;126;Jingzhou;x
787;102;58;173;Hecate Strait;x
788;162;226;173;Xiangyang;x
789;41;119;135;Gulf Of California;x
790;145;138;26;Manzazilla Bay;x
791;106;114;56;Mazatlan Bay;x
792;32;108;126;Fengyang;x
793;43;134;45;Coast Of Baja;x
794;65;167;96;Santa Catalina Islands;x
795;33;120;32;Anqing;x
796;161;118;173;Hefei;x
797;34;228;32;Yichuan;x
798;161;122;79;Hanyang;x
799;162;130;79;Chongqing;x
800;34;132;126;Langzhong;x
801;89;142;132;Coast Of Columbia;x
802;34;136;32;Chengdu;x
803;65;44;188;Coast Of Alaska;x
804;130;232;145;Kuskowim Bay;x
805;194;134;227;Hatton Bank;x
806;67;76;0;Krakow;x
807;194;66;0;Warszawa;x
808;195;78;64;Sieradz;x
809;209;187;58;Eastern Gibbs Fracture;x
810;72;82;196;Sea Of Azores;x
811;216;118;173;Catamarca;x
812;67;80;128;Leczyca;x
813;190;142;255;Narva;x
814;191;150;192;Ösel;x
815;18;37;169;Iowa;x
816;62;140;192;Österbotten;x
817;190;138;128;Savo;x
818;100;113;166;Cedar;x
819;92;177;88;Sauk;x
820;191;154;0;Tuckum;x
821;236;35;30;Winnebago;x
822;191;146;64;Dorpat;x
823;63;148;128;Livland;x
824;88;124;126;Charcas;x
825;173;169;92;Waukesha;x
826;37;123;228;Springfield;x
827;62;144;0;Reval;x
828;193;46;0;Hrodna;x
829;88;120;32;Chaco Boreal;x
830;181;9;52;Sable Island Bank;x
831;142;151;91;Blake Plateau;x
832;65;48;64;Memel;x
833;216;122;79;Chichas;x
834;193;54;255;Masuria;x
835;193;58;64;Podlesia;x
836;64;202;113;Cape Verde Approach;x
837;72;193;179;Canary Approach;x
838;218;205;48;Northern Guiana Basin;x
839;196;90;128;Glogow;x
840;208;200;34;West Bermuda Sea;x
841;68;88;64;Poznan;x
842;221;106;21;New England Seamounts;x
843;180;187;81;Western Gibbs Fracture;x
844;75;192;79;Iberian Shelf;x
845;194;101;39;Corner Seamounts;x
846;196;94;255;Wroclaw;x
847;41;185;201;East Bermuda Sea;x
848;68;92;192;Legnica;x
849;225;184;40;Southern Guiana Basin;x
850;91;40;225;Guiana Basin;x
851;68;96;0;Opole;x
852;163;14;100;Coast Of California;x
853;65;67;167;Coast Of Oregon;x
854;80;138;186;Antilles Current;x
855;217;126;173;Jujuy;x
856;65;52;192;Warmia;x
857;65;56;0;Torun;x
858;193;50;128;Ostpreussen;x
859;108;125;157;Central North Atlantic;x
860;41;69;201;West Sargasso Sea;x
861;167;52;39;North Equatorial Current;x
862;145;98;99;Sargasso Sea;x
863;233;102;255;Veda Suvar;x
864;179;197;73;East Guinea Basin;x
865;101;44;0;Kashin;x
866;229;46;64;Tver;x
867;101;48;128;Romanov;x
868;117;182;58;South Brazil Current;x
869;139;70;29;Brazil Current;x
870;219;160;53;Western South Atlantic Current;x
871;151;190;223;South Equatorial Current;x
872;229;50;192;Rostov;x
873;230;54;0;Moskva;x
874;34;236;236;West Guinea Basin;x
875;40;185;48;Coast Of Falklands;x
